Nombre Original,Nombre Sugerido,Categoria,Justificacion Biologica
Synthetic Condensate 000338,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000339,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000340,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000341,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000342,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000343,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000344,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000345,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000346,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000347,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000348,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000349,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000350,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000351,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000352,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000353,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000354,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000355,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000356,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000357,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000358,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000359,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000360,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000361,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000362,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000363,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000364,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000365,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000366,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000367,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000368,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000369,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000370,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000371,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000372,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000373,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000374,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000375,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000376,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000377,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000378,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000379,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000380,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000381,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000382,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000383,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000384,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000385,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
Synthetic Condensate 000386,synthetic_condensate,Sintético,Condensado sintético de CDCODE; no corresponde a un MLO biológico natural
actin cortical patch,actin_cortical_patch,Citoesqueleto,Variante de capitalización de 'Actin cortical patch' (PhasePro)
BR-bodies,bacterial_rnp_body,Procariota,Plural de 'BR-body'; gránulos RNP bacterianos
Cytoplasmic viral factory,viral_factory,Viral,Variante de capitalización de 'cytoplasmic viral factory'
Dense fibrillar component,nucleolus,Nuclear,Variante de capitalización; subestructura DFC del nucleolo (cf. 'dense fibrillar component')
Dense Fibrillar Component,nucleolus,Nuclear,Variante de capitalización; subestructura DFC del nucleolo
FXR1 network,cytoplasmic_rnp_granule,Citoplasmático,Red de FXR1; agrupado con 'FXR1 condensates' → cytoplasmic_rnp_granule
Granular component,nucleolus,Nuclear,Variante de capitalización; subestructura GC del nucleolo (cf. 'granular component')
Histone Locus Body,histone_locus_body,Nuclear,Variante de capitalización de 'Histone locus body'
Inclusion Body,inclusion_body,Patológico,Variante de capitalización de 'Inclusion body'
Insulator body,insulator_body,Nuclear,Variante de capitalización de 'insulator body'
L-bodies,l_body,Germinal,Plural de 'L-body'; gránulos de ARNm en Xenopus
Mediator condensate,mediator_condensate,Nuclear,Variante de capitalización de 'mediator condensate'
MUTator foci,mutator_foci,Germinal,Variante de capitalización de 'Mutator foci'
Necrosome,necrosome,Citoplasmático,Variante sin modificador de 'Arsenite-induced Necrosome'; mismo condensado RIP1-RIP3
Osmotic stress granule,stress_granule,Citoplasmático,Gránulo de estrés osmótico; mecanismo de ensamblaje idéntico al stress granule canónico
P62 body,p62_body,Citoplasmático,Variante de capitalización de 'p62 body'
P62 cluster,p62_body,Citoplasmático,Variante de capitalización de 'p62 cluster'
Pyrenoid,pyrenoid,Plastídico,Variante de capitalización de 'pyrenoid'
RNP granules,cytoplasmic_rnp_granule,Citoplasmático,Plural de 'RNP granule'; agrupado con cytoplasmic_rnp_granule
Sirna body,sirna_body,Citoplasmático,Variante de capitalización de 'siRNA body'
Stress Granule,stress_granule,Citoplasmático,Variante de capitalización de 'Stress granule'
Tam body,tam_body,Nuclear,Variante de capitalización de 'TAM body'
Tau Condensate,tau_condensate,Neuronal,Variante de capitalización de 'Tau condensate'
Tau inclusion,tau_condensate,Neuronal,Inclusión de tau; forma patológica del tau condensate
Viral factory,viral_factory,Viral,Variante de capitalización; fábrica viral genérica
Centrosome/Spindle pole body,spindle_pole_body,Citoesqueleto,Entrada mixta de bases de datos; término de SPB fúngico. Ver spindle_pole_body.
contractile ring,contractile_ring,Citoesqueleto,Anillo de actomiosina en citocinesis (PhasePro); estructura condensado-like mantenida como entrada independiente
Cytoplasmic virion assembly compartment,viral_factory,Viral,Compartimento citoplasmático de ensamblaje viral; equivalente a viral_factory
Destruction complex condensate,wnt_destruction_complex,Citoplasmático,Variante de nombre para el complejo de destrucción de β-catenina. Ver wnt_destruction_complex.
Dvl2 condensate,wnt_signaling_condensate,Citoplasmático,Condensado Dishevelled; vía Wnt (decisions §3.8; cf. DVL2 condensates)
Euchromatin,chromatin_compartment,Nuclear,Fase eucromatínica de la cromatina (decisions §3.7)
Germ plasm/Polar granule,germ_plasm,Germinal,Combinación DrLLPS; polar granule = germ plasm en Drosophila (decisions §3.4)
IMP1 RNP granule,neuronal_granule,Neuronal,Gránulo IMP1; similar a neuronal granule por composición (decisions §5)
NotInformed,NotInformed,Unspecified,Valor especial: proteína sin MLO asignado en la fuente; incluida en DB como phase-separating sin contexto de condensado específico
Pericentriolar material,centrosome,Citoesqueleto,PCM es el componente condensado del centrosoma (decisions §3.1)
Photobody,plant_photobody,Vegetal,Cuerpo nuclear de fotorreceptores en plantas (PhyB/CRY); equivalente a plant_photobody
Proteasome Storage Granule,proteasome_foci,Nuclear,PSG de levaduras; gránulo de almacenamiento del proteasoma bajo ayuno; agrupado con proteasome_foci
Spindle matrix,spindle_apparatus,Citoesqueleto,Matriz proteinácea del huso; variante de spindle apparatus (decisions §3.1)
"synaptosome, neuron projection",DISCARD,NULL,Término GO de morfología neuronal; no es un MLO (decisions §4)
ViPR body,vipr_body,Nuclear,Cuerpo nuclear inducido por infección viral (PhaSepDB); condensado de respuesta antiviral nuclear
Virion assembly compartment,viral_factory,Viral,Compartimento de ensamblaje viral; equivalente a viral_factory
VRO-associated condensate,replication_compartment,Viral/Nuclear,Condensado de VRO (Viral Replication Organelle); incluido en replication_compartment (decisions §3.9)
Wnt signalodroplet,wnt_signaling_condensate,Citoplasmático,Droplet de señalización Wnt de PhaSepDB; equivalente funcional a DVL2/Dishevelled condensate
XY body,heterochromatin,Nuclear,Cuerpo sexual cromosómico; heterocromatina facultativa (decisions §3.7; cf. sex body)
Abscission checkpoint body,abscission_checkpoint_body,Nuclear,Cuerpos ESCRT-III que detienen la abscisión en el puente de citocinesis [PMID:29093048]
Amyloid body,amyloid_body,Nuclear,Amiloide funcional nucleolar (Rim101/CPEB); estructura distinta del amyloid_aggregate patológico
Antiviral condensate,antiviral_condensate,Citoplasmático,Condensado de respuesta antiviral innata; distinto del stress granule aunque comparte componentes
BAG2 condensate,bag2_condensate,Citoplasmático,Condensado del cochaperone BAG2 (PhaSepDB); distinto del aggresome según anotación de fuente
ELKS condensate,elks_condensate,Neuronal,Condensado presináptico del scaffold ELKS/CAST; organiza la zona activa sináptica
GBPL defense-activated condensates,gbpl_condensate,Vegetal,Condensados de defensa de GBPL3 en plantas; respuesta inmune innata vegetal [PMID:33087907]
Haemoglobin body,haemoglobin_body,Citoplasmático,Cuerpos ricos en hemoglobina en precursores eritroides; condensado de Hb por LLPS
HIV-1-MLO,viral_factory,Viral,MLO inducido por HIV-1; equivalente funcional a fábrica viral en ciclo lentiviral
Intranuclear quality control compartment,inq_compartment,Nuclear,Compartimento INQ de control de calidad proteica intranuclear en levaduras [PMID:23973096]
KAT6A droplet,kat6a_condensate,Nuclear,Condensado de la acetiltransferasa KAT6A; regula transcripción por LLPS
Mast cell extracellular granules (MCEGs),mast_cell_granule,Secretor,Gránulos extracelulares de mastocitos (CDCODE); compartimentos de secreción con propiedades de condensado
Mesh-like condensate,mesh_condensate,Citoplasmático,Condensado con morfología de malla (PhaSepDB); término descriptivo sin identidad molecular específica documentada
NikR compartments,nikr_compartment,Procariota,Compartimentos del represor NikR de níquel en H. pylori; condensados bacterianos de respuesta metálica
Non-paraspeckle NONO condensate,nono_condensate,Nuclear,Condensado nuclear de NONO/p54nrb independiente del paraspeckle; función diferenciada en splicing
Rbm14-maternal mRNA condensate,maternal_mrna_condensate,Germinal,Condensado maternal de mRNA mediado por RBM14 en Xenopus; gránulos de ARNm pre-fertilización
TDP-43 nuclear condensate,tdp43_nuclear_condensate,Nuclear,Condensado nuclear de TDP-43; distinto de los agregados citoplasmáticos de TDP-43 en SGs
TmaR condensate,tmar_condensate,Procariota,Condensado del regulador TmaR en E. coli; condensado bacteriano de respuesta a acetato
TWN body,twn_body,Vegetal,TWIN body en Arabidopsis; condensado de desarrollo embrionario vegetal
U1 snRNP condensate,u1_snrnp_condensate,Nuclear,Condensado de U1 snRNP; concentración dinámica de maquinaria de splicing
Ubqln puncta,ubqln_puncta,Citoplasmático,Foci de ubiquilina (UBQLN1/2) de CDCODE; condensados de control de calidad proteica
Cytoplasmic Nucleoporin Granule,cytoplasmic_nucleoporin_granule,Nuclear,Gránulos citoplasmáticos de nucleoporinas; condensados de FG-nucleoporinas fuera del poro [PMID:30257218]
RNP transport granule,neuronal_granule,Neuronal,Gránulo de transporte de ARNm neuronal; subclase de neuronal granule con función de transporte axonal/dendrítico
NORAD-PUM body,norad_pum_body,Citoplasmático,Condensado NORAD-PUMILIO; regula la actividad de PUM1/2 secuestrándola en un condensado citoplasmático [PMID:30449725]
PML/RARα microspeckle,pml_nuclear_body,Nuclear,Microspeckle de PML con fusión RARα; forma variante de cuerpo PML en leucemia promielocítica aguda
Pab2 nuclear condensate,pab2_condensate,Nuclear,Condensado nuclear de Pab2 en S. pombe; condensado de poliadenilación nuclear en levaduras
Cytoplasmic protein granule,cytoplasmic_rnp_granule,Citoplasmático,Término CDCODE para gránulos citoplasmáticos; agrupado con cytoplasmic ribonucleoprotein granule
Galectin complex,galectin_condensate,Membrana,Complejo de galectinas en membrana; forma condensados en respuesta a daño de membrana [PMID:30257216]
FIP200 puncta,fip200_puncta,Autofagia,Puncta formadas por FIP200 (RB1CC1) durante iniciación de autofagia; condensados de pre-autofagosoma [PMID:35165166]
Cortical condensate,cortical_condensate,Membrana,Condensado cortical en membrana plasmática; estructuras asociadas al córtex de actina
ICP22 condensate,icp22_condensate,Viral,Condensado viral formado por la proteína ICP22 del virus herpes simplex; fábrica viral nuclear [PMID:33060132]
RNA-helicase condensates,rna_helicase_condensate,Citoplasmático,Condensados formados por RNA helicasas; estructuras relacionadas con procesamiento de RNA
